6.060024923593504553e+01,7.153270742027284257e+01,5.927804672561945409e+01,6.344027384106519918e+01,6.528984583246734985e+01
1.118297018308938675e+02,1.609963154366407139e+02,7.129877547993835663e+01,1.263207465486325418e+02,7.914253937955405149e+01
1.501743355619672968e+02,1.227733782352619727e+02,1.115993112920896806e+02,8.747713151586772540e+01,2.152293065610934093e+02
1.789232115882740004e+02,1.716489410740221615e+02,9.808730389525791793e+01,1.715319311793564907e+02,1.349511930812466574e+02
7.211289541818828752e+01,1.675712764012961316e+02,1.375858241748397006e+02,1.135945289776226304e+02,1.578352493023513148e+02
7.615656906969954321e+01,1.029149485084791849e+02,1.715819208518955179e+02,1.499107251286196174e+02,1.218356209467583540e+02
8.450605838909149270e+01,1.732527742559852584e+02,1.335688304091960958e+02,1.851448690539653228e+02,1.497511469800014936e+02
2.469652064979651982e+02,1.425658295785063103e+02,2.034348633949277314e+02,1.797102318198768103e+02,1.228488909035876588e+02
8.558253878696791617e+02,1.638106363122611810e+02,9.155250602355090450e+01,3.270270587576533217e+02,3.359059087986552186e+02
1.240689797838914927e+02,1.496335096439757706e+02,1.696166336234231835e+02,3.402309624817735880e+02,1.926889530694660664e+02
