6.454367933053630679e+01,6.438030546433837742e+01,6.138412792892138015e+01,5.948585218471155400e+01,6.240996365091032771e+01,6.310951766847403377e+01,6.228065459118391090e+01,6.792004570236473171e+01,6.503303701259706315e+01,6.212088556631616143e+01
4.691416053972242395e+01,5.036363422220021846e+01,4.434283289243092696e+01,4.578041259297803833e+01,4.784725653283609148e+01,4.630301482326388651e+01,4.572041806957637533e+01,4.406463272400899456e+01,4.826036240124529542e+01,4.966900230206032774e+01
4.314207564085769064e+01,4.050801963135491945e+01,4.038598489480443021e+01,4.028720838271385674e+01,4.038474475879445436e+01,4.318177453375363939e+01,4.119332334806943408e+01,4.129544921435078919e+01,4.124482294158467255e+01,4.274325559953402376e+01
3.730635222538024465e+01,3.827379363867743933e+01,3.588321295577297576e+01,3.892491887604798251e+01,3.857702416106841525e+01,3.786598352916464449e+01,3.892004004004635931e+01,3.731494397665890972e+01,3.645356666438651416e+01,3.776476694848184223e+01
3.657045658683825451e+01,3.570932519978373421e+01,3.695149249622388510e+01,3.694951630351636851e+01,3.658485441173316133e+01,3.655759330770457893e+01,3.535964391865832113e+01,3.557766811673745622e+01,3.593769215588837085e+01,3.482228039519622342e+01
3.520359581537538674e+01,3.540237646430190921e+01,3.466645354148391789e+01,3.390229999696246210e+01,3.470046198599940368e+01,3.530556608197390034e+01,3.417120195034853936e+01,3.484068844274576549e+01,3.466417672239482073e+01,3.533787575759299671e+01
3.455264426434980152e+01,3.457567529117054761e+01,3.430666726046741388e+01,3.304164194351805861e+01,3.357168617732668281e+01,3.449528485507789810e+01,3.550952539564368493e+01,3.494600194741052235e+01,3.592255435501701299e+01,3.473079606497918803e+01
3.274015689094851922e+01,3.439396537314974722e+01,3.311180607721554026e+01,3.271888945558080763e+01,3.287715567880633216e+01,3.360217508619896165e+01,3.255142543335865923e+01,3.277331306088557739e+01,3.354172179055839109e+01,3.285410899095052883e+01
3.331077751439119083e+01,3.241542437883079941e+01,3.226274834269878511e+01,3.336101438697944133e+01,3.205694486298576606e+01,3.145908804061930653e+01,3.225226589409195554e+01,3.361832857527421936e+01,3.288757826980483401e+01,3.356112025927028952e+01
3.217583326801597110e+01,3.240135334378137344e+01,3.236018770658953514e+01,3.210100649296118291e+01,3.207551279936009081e+01,3.247373654354099415e+01,3.200362856409815038e+01,3.300932100038550487e+01,3.314958117521911163e+01,3.305622959816719231e+01
