4.927444523116307096e+00,5.225481900601486984e+00,5.209568109556024673e+00,5.141574402477938399e+00,5.084885245300218237e+00
4.009471135963854849e+00,3.964625640415614605e+00,3.989102094624378037e+00,3.906533849126539781e+00,4.033216349596496997e+00
3.277907480817783270e+00,3.208968386023571817e+00,3.570057928177894802e+00,3.270556611914988032e+00,3.296995263428167178e+00
2.881879445591083222e+00,2.839570566874133561e+00,2.858924807077414254e+00,2.912326244491384220e+00,2.800918079559333140e+00
2.624053555758386391e+00,2.561902582025738617e+00,2.596792305810384782e+00,2.531551602542638779e+00,2.521296406530213918e+00
2.319056678678773853e+00,2.234802715578094290e+00,2.411711828169463168e+00,2.386621339273802711e+00,2.377792587765345189e+00
2.073803417910386138e+00,2.131393865516882702e+00,2.126805916516232742e+00,2.139424167368497720e+00,2.122843450686021871e+00
2.032951334446822411e+00,1.980800660312654671e+00,1.990707828599129536e+00,1.964322982558683206e+00,1.978455614241719340e+00
1.849041288529308824e+00,1.826455146243922245e+00,1.821996998165112069e+00,1.783220520473526527e+00,1.849361502663735113e+00
1.736412746234685667e+00,1.705491110506591079e+00,1.778279937881444228e+00,1.723188900549080360e+00,1.709239493475454896e+00
